"X","Temp","DateTime"
610,5.757,2025-04-08 20:07:45
611,5.141,2025-04-08 21:07:45
612,4.934,2025-04-08 22:07:45
613,5.45,2025-04-08 23:07:45
614,5.244,2025-04-09 00:07:45
615,3.893,2025-04-09 01:07:45
616,5.45,2025-04-09 02:07:45
617,5.552,2025-04-09 03:07:45
618,5.655,2025-04-09 04:07:45
619,5.655,2025-04-09 05:07:45
620,6.064,2025-04-09 06:07:45
621,6.674,2025-04-09 07:07:45
622,8.182,2025-04-09 08:07:45
623,8.282,2025-04-09 09:07:45
624,8.879,2025-04-09 10:07:45
625,10.455,2025-04-09 11:07:45
626,9.866,2025-04-09 12:07:45
627,8.68,2025-04-09 13:07:45
628,8.581,2025-04-09 14:07:45
629,8.779,2025-04-09 15:07:45
630,9.077,2025-04-09 16:07:45
631,8.779,2025-04-09 17:07:45
632,8.581,2025-04-09 18:07:45
633,8.182,2025-04-09 19:07:45
634,7.882,2025-04-09 20:07:45
635,7.481,2025-04-09 21:07:45
636,7.079,2025-04-09 22:07:45
637,6.573,2025-04-09 23:07:45
638,4.623,2025-04-10 00:07:45
639,0.453,2025-04-10 01:07:45
640,0.453,2025-04-10 02:07:45
641,0.784,2025-04-10 03:07:45
642,3.683,2025-04-10 04:07:45
643,4.623,2025-04-10 05:07:45
644,4.519,2025-04-10 06:07:45
645,3.472,2025-04-10 07:07:45
646,3.683,2025-04-10 08:07:45
647,4.207,2025-04-10 09:07:45
648,5.244,2025-04-10 10:07:45
649,6.573,2025-04-10 11:07:45
650,7.28,2025-04-10 12:07:45
651,9.373,2025-04-10 13:07:45
652,12.883,2025-04-10 14:07:45
653,8.382,2025-04-10 15:07:45
654,8.481,2025-04-10 16:07:45
655,8.481,2025-04-10 17:07:45
656,7.882,2025-04-10 18:07:45
657,7.28,2025-04-10 19:07:45
658,7.28,2025-04-10 20:07:45
659,6.674,2025-04-10 21:07:45
660,6.573,2025-04-10 22:07:45
661,6.471,2025-04-10 23:07:45
662,6.37,2025-04-11 00:07:45
663,6.268,2025-04-11 01:07:45
664,6.064,2025-04-11 02:07:45
665,6.37,2025-04-11 03:07:45
666,6.471,2025-04-11 04:07:45
667,6.064,2025-04-11 05:07:45
668,6.166,2025-04-11 06:07:45
669,6.877,2025-04-11 07:07:45
670,6.674,2025-04-11 08:07:45
671,6.877,2025-04-11 09:07:45
672,7.582,2025-04-11 10:07:45
673,8.182,2025-04-11 11:07:45
674,8.978,2025-04-11 12:07:45
675,9.669,2025-04-11 13:07:45
676,10.944,2025-04-11 14:07:45
677,10.161,2025-04-11 15:07:45
678,10.063,2025-04-11 16:07:45
679,9.965,2025-04-11 17:07:45
680,9.768,2025-04-11 18:07:45
681,6.877,2025-04-11 19:07:45
682,5.244,2025-04-11 20:07:45
683,4.519,2025-04-11 21:07:45
684,3.998,2025-04-11 22:07:45
685,3.788,2025-04-11 23:07:45
686,3.472,2025-04-12 00:07:45
687,3.049,2025-04-12 01:07:45
688,2.943,2025-04-12 02:07:45
689,2.088,2025-04-12 03:07:45
690,2.624,2025-04-12 04:07:45
691,3.683,2025-04-12 05:07:45
692,5.655,2025-04-12 06:07:45
693,7.882,2025-04-12 07:07:45
694,10.944,2025-04-12 08:07:45
695,11.334,2025-04-12 09:07:45
696,12.11,2025-04-12 10:07:45
697,12.594,2025-04-12 11:07:45
698,12.013,2025-04-12 12:07:45
699,10.553,2025-04-12 13:07:45
700,10.944,2025-04-12 14:07:45
701,11.139,2025-04-12 15:07:45
702,11.528,2025-04-12 16:07:45
703,11.722,2025-04-12 17:07:45
704,11.431,2025-04-12 18:07:45
705,9.866,2025-04-12 19:07:45
706,10.553,2025-04-12 20:07:45
707,10.161,2025-04-12 21:07:45
708,9.866,2025-04-12 22:07:45
709,9.373,2025-04-12 23:07:45
710,6.37,2025-04-13 00:07:45
711,8.879,2025-04-13 01:07:45
712,8.581,2025-04-13 02:07:45
713,8.382,2025-04-13 03:07:45
714,7.481,2025-04-13 04:07:45
715,5.655,2025-04-13 05:07:45
716,5.037,2025-04-13 06:07:45
717,7.983,2025-04-13 07:07:45
718,10.455,2025-04-13 08:07:45
719,8.581,2025-04-13 09:07:45
720,8.68,2025-04-13 10:07:45
721,9.176,2025-04-13 11:07:45
722,8.978,2025-04-13 12:07:45
723,10.357,2025-04-13 13:07:45
724,9.275,2025-04-13 14:07:45
725,9.077,2025-04-13 15:07:45
726,9.176,2025-04-13 16:07:45
727,9.077,2025-04-13 17:07:45
